code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
601918,新集能源,煤炭开采,安徽,35.33,25.91,25.91,3128455.25,261940.25,1522067.38,178900.02,0.69,0.059000000000000004,1.85,2.27,20071219,-71280.93,-0.28,44.27,302.59,40.08,4.56,203982.0
000037,深南电A,火力发电,深圳,0.0,3.39,6.03,307107.09,141570.61,145118.59,36277.09,0.6,-0.004,3.22,2.61,19940701,64211.76,1.07,30.19,96.64,6.82,-0.14,31557.0
002178,延华智能,建筑施工,上海,0.0,6.07,7.16,206663.0,143469.88,6866.18,28371.6,0.4,-0.009000000000000001,1.57,8.09,20071101,9389.12,0.13,8.14,-115.97,4.44,-1.12,62437.0
600397,安源煤业,煤炭开采,江西,0.0,9.9,9.9,744008.88,308302.16,318080.69,186328.3,1.88,-0.02,1.48,2.87,20020702,-173503.38,-1.75,21.29,92.11,14.59,-1.14,68155.0
601010,文峰股份,超市连锁,江苏,22.89,18.48,18.48,629650.56,188810.13,322362.75,84020.28,0.45,0.09300000000000001,2.33,1.82,20110603,126703.65,0.69,4.88,15.37,19.55,4.77,156603.0
000531,穗恒运Ａ,火力发电,广东,25.97,6.85,6.85,902775.63,241836.84,313458.0,89725.56,1.31,0.165,5.61,1.53,19940106,192089.31,2.8,47.05,-51.76,21.69,7.41,31984.0
600252,中恒集团,中成药,广西,19.33,32.75,34.75,646704.38,323914.03,115664.52,8572.92,0.02,0.111,1.56,2.75,20001130,123348.42,0.35,28.9,38.17,78.13,41.36,168721.0
300160,秀强股份,玻璃,江苏,22.63,5.92,5.98,207267.95,93946.49,48183.37,23021.42,0.39,0.19,2.2,3.91,20110113,43483.92,0.73,18.93,57.26,34.41,15.75,31876.0
600416,湘电股份,电气设备,湖南,317.84,8.41,9.46,2080642.75,1531060.38,158063.81,487316.69,5.15,0.02,6.78,1.92,20020718,40398.37,0.43,-5.47,-72.15,13.91,0.41,38660.0
002105,信隆健康,文教休闲,深圳,54.42,3.69,3.69,150686.23,94692.28,45172.59,6092.15,0.17,0.11900000000000001,1.43,6.06,20070112,4086.12,0.11,37.87,97.33,16.32,3.26,36420.0
000760,斯太尔,汽车配件,湖北,28.34,6.54,7.88,276619.16,116300.97,25762.03,149416.67,1.89,0.153,2.69,3.21,19970627,-8229.98,-0.1,-22.2,255.03,-22.9,190.89,42714.0
300287,飞利信,软件服务,北京,40.32,10.41,14.35,698960.44,379805.69,19994.02,330256.09,2.3,0.10800000000000001,3.92,2.21,20120201,87512.4,0.61,5.14,9.77,40.58,17.77,60100.0
300472,新元科技,专用机械,北京,323.21,0.33,1.0,59220.61,36337.94,16305.76,15137.47,1.51,0.04,3.87,6.74,20150611,12107.96,1.21,90.02,34.91,30.76,3.18,8754.0
000789,万年青,水泥,江西,30.41,6.13,6.13,801885.25,243186.38,415783.88,27790.74,0.45,0.14300000000000002,4.51,1.92,19970923,171624.73,2.8,20.2,30.23,19.19,3.19,46242.0
601229,上海银行,银行,上海,8.71,7.81,78.06,171141568.0,0.0,450937.5,3025353.75,3.88,0.9990000000000001,15.47,1.12,20161116,3161734.5,4.05,0.0,0.0,0.0,50.64,182362.0
600027,华电国际,火力发电,山东,0.0,67.85,98.63,20784156.0,2116015.5,13534037.0,1314963.25,1.33,-0.021,4.17,1.05,20050203,1498176.75,1.52,23.99,-108.04,8.81,-0.58,138562.0
600203,福日电子,元器件,福建,98.5,3.03,4.56,477921.75,297824.66,71258.36,162356.09,3.56,0.044000000000000004,4.83,1.81,19990514,4553.16,0.1,25.84,-44.08,6.05,0.49,25527.0
000909,数源科技,综合类,浙江,104.47,2.94,3.12,474732.66,408500.09,2031.57,47205.76,1.51,0.063,3.34,3.92,19990507,21831.0,0.7,47.54,20.24,14.45,2.18,33835.0
002899,英派斯,文教休闲,山东,58.45,0.3,1.2,118624.8,94746.56,17900.74,62523.36,5.21,0.67,7.74,5.09,20170915,16727.21,1.39,0.0,0.0,37.44,10.74,31973.0
000603,盛达矿业,铅锌,北京,49.13,4.11,7.23,272033.28,83883.38,18819.72,135915.97,1.88,0.134,3.12,4.23,19960823,75774.81,1.05,17.7,27.87,62.42,33.72,38015.0
601601,中国太保,保险,上海,27.6,62.87,90.62,111839296.0,0.0,1262700.0,6674200.0,7.37,0.718,14.51,2.73,20071225,3893800.0,4.3,22.7,5.98,0.0,3.67,82289.0
